Tutor Name, Timeslot, Available (1=Yes, 0=No)
Tutor 404,1,1
Tutor 404,2,1
Tutor 404,3,1
Tutor 404,4,1
Tutor 404,5,1
Tutor 404,6,1
Tutor 404,7,1
Tutor 404,8,1
Tutor 404,9,1
Tutor 404,10,1
Tutor 404,11,1
Tutor 404,12,1
Tutor 404,13,1
Tutor 404,14,1
Tutor 404,15,1
Tutor 404,16,1
Tutor 404,17,1
Tutor 404,18,1
Tutor 404,19,1
Tutor 404,20,1
Tutor 404,21,1
Tutor 404,22,1
Tutor 404,23,1
Tutor 404,24,1
Tutor 404,25,1
Tutor 404,26,1
Tutor 404,27,1
Tutor 404,28,0
Tutor 404,29,0
Tutor 404,30,1
Tutor 404,31,1
Tutor 404,32,1
Tutor 404,33,1
Tutor 404,34,1
Tutor 404,35,1
Tutor 404,36,1
Tutor 404,37,1
Tutor 404,38,1
Tutor 404,39,1
Tutor 404,40,1
Tutor 404,41,1
Tutor 404,42,1
Tutor 404,43,1
Tutor 404,44,1
Tutor 404,45,1
Tutor 404,46,1
Tutor 404,47,0
Tutor 404,48,0
Tutor 404,49,0
Tutor 404,50,0
Tutor 404,51,1
Tutor 404,52,1
Tutor 404,53,1
Tutor 404,54,1
Tutor 404,55,1
Tutor 404,56,1
Tutor 404,57,1
Tutor 404,58,1
Tutor 404,59,1
Tutor 404,60,1
Tutor 404,61,1
Tutor 404,62,1
Tutor 404,63,1
Tutor 404,64,1
Tutor 404,65,1
Tutor 404,66,1
Tutor 404,67,1
Tutor 404,68,1
Tutor 404,69,1
Tutor 404,70,1
Tutor 404,71,1
Tutor 404,72,1
Tutor 404,73,1
Tutor 404,74,1
Tutor 404,75,1
Tutor 404,76,1
Tutor 404,77,1
Tutor 404,78,1
Tutor 404,79,1
Tutor 404,80,1
Tutor 404,81,0
Tutor 404,82,0
Tutor 404,83,1
Tutor 404,84,1
Tutor 404,85,1
Tutor 404,86,1
Tutor 404,87,1
Tutor 404,88,1
Tutor 404,89,1
Tutor 404,90,1
Tutor 404,91,1
Tutor 404,92,1
Tutor 404,93,1
Tutor 404,94,1
Tutor 404,95,1
Tutor 84,1,1
Tutor 84,2,1
Tutor 84,3,1
Tutor 84,4,1
Tutor 84,5,1
Tutor 84,6,1
Tutor 84,7,1
Tutor 84,8,1
Tutor 84,9,1
Tutor 84,10,1
Tutor 84,11,1
Tutor 84,12,1
Tutor 84,13,0
Tutor 84,14,0
Tutor 84,15,0
Tutor 84,16,0
Tutor 84,17,1
Tutor 84,18,1
Tutor 84,19,1
